,WRank,LRank,Surface,WPts,LPts,A,B,C,D,E,ACourt,BCourt,CCourt,DCourt,ECourt,AOpponentRank,BOpponentRank,COpponentRank,DOpponentRank,EOpponentRank,APlayerRank,BPlayerRank,CPlayerRank,DPlayerRank,EPlayerRank
0,129,15.0,2,448,2385.0,1,0,1,1,1,2,2,2,2,2,36.0,64.0,72.0,35.0,129.0,138.0,138.0,129.0,129.0,82.0
0,129,93.0,2,448,596.0,0,1,1,1,1,2,2,2,2,2,64.0,72.0,35.0,129.0,129.0,138.0,129.0,129.0,82.0,15.0
0,107,75.0,2,545,702.0,1,1,1,1,1,2,2,2,2,2,72.0,35.0,129.0,129.0,129.0,129.0,129.0,82.0,15.0,93.0
0,94,44.0,1,623,1120.0,1,1,1,1,0,2,2,2,2,2,35.0,129.0,129.0,129.0,75.0,129.0,82.0,15.0,93.0,107.0
0,70,94.0,1,760,623.0,1,1,1,0,1,2,2,2,2,1,129.0,129.0,129.0,75.0,94.0,82.0,15.0,93.0,107.0,44.0
0,58,92.0,1,877,643.0,1,1,0,1,0,2,2,2,1,1,129.0,129.0,75.0,94.0,94.0,15.0,93.0,107.0,44.0,70.0
0,92,89.0,1,664,669.0,1,0,1,0,0,2,2,1,1,1,129.0,75.0,94.0,94.0,92.0,93.0,107.0,44.0,70.0,58.0
0,90,40.0,1,669,1175.0,0,1,0,0,0,2,1,1,1,1,75.0,94.0,94.0,92.0,89.0,107.0,44.0,70.0,58.0,92.0
0,122,90.0,1,451,669.0,1,0,0,0,1,1,1,1,1,1,94.0,94.0,92.0,89.0,90.0,44.0,70.0,58.0,92.0,40.0
0,82,52.0,1,697,1012.0,0,0,0,1,0,1,1,1,1,1,94.0,92.0,89.0,90.0,90.0,70.0,58.0,92.0,40.0,122.0
0,55,82.0,1,923,697.0,0,0,1,0,1,1,1,1,1,1,92.0,89.0,90.0,90.0,82.0,58.0,92.0,40.0,122.0,52.0
0,185,81.0,1,317,717.0,0,1,0,1,0,1,1,1,1,1,89.0,90.0,90.0,82.0,82.0,92.0,40.0,122.0,52.0,55.0
0,35,78.0,3,1255,719.0,1,0,1,0,0,1,1,1,1,1,90.0,90.0,82.0,82.0,81.0,40.0,122.0,52.0,55.0,185.0
0,78,86.0,3,719,668.0,0,1,0,0,0,1,1,1,1,3,90.0,82.0,82.0,81.0,78.0,122.0,52.0,55.0,185.0,35.0
0,47,78.0,3,1016,719.0,1,0,0,0,1,1,1,1,3,3,82.0,82.0,81.0,78.0,78.0,52.0,55.0,185.0,35.0,86.0
0,11,78.0,3,2435,733.0,0,0,0,1,0,1,1,3,3,3,82.0,81.0,78.0,78.0,78.0,55.0,185.0,35.0,86.0,47.0
0,93,83.0,2,617,695.0,0,0,1,0,0,1,3,3,3,3,81.0,78.0,78.0,78.0,78.0,185.0,35.0,86.0,47.0,11.0
0,10,84.0,2,3355,695.0,0,1,0,0,0,3,3,3,3,2,78.0,78.0,78.0,78.0,83.0,35.0,86.0,47.0,11.0,93.0
0,57,81.0,2,952,713.0,1,0,0,0,0,3,3,3,2,2,78.0,78.0,78.0,83.0,84.0,86.0,47.0,11.0,93.0,10.0
0,9,81.0,2,3485,713.0,0,0,0,0,0,3,3,2,2,2,78.0,78.0,83.0,84.0,81.0,47.0,11.0,93.0,10.0,57.0
0,110,78.0,2,486,715.0,0,0,0,0,0,3,2,2,2,2,78.0,83.0,84.0,81.0,81.0,11.0,93.0,10.0,57.0,9.0
0,76,54.0,2,729,923.0,0,0,0,0,0,2,2,2,2,2,83.0,84.0,81.0,81.0,78.0,93.0,10.0,57.0,9.0,110.0
0,76,37.0,2,729,1170.0,0,0,0,0,1,2,2,2,2,2,84.0,81.0,81.0,78.0,76.0,10.0,57.0,9.0,110.0,54.0
0,26,76.0,2,1640,729.0,0,0,0,1,1,2,2,2,2,2,81.0,81.0,78.0,76.0,76.0,57.0,9.0,110.0,54.0,37.0
0,100,61.0,2,550,836.0,1,0,1,1,0,2,2,2,2,2,73.0,48.0,102.0,117.0,49.0,59.0,59.0,61.0,61.0,61.0
0,51,77.0,2,975,686.0,0,1,1,0,0,2,2,2,2,2,48.0,102.0,117.0,49.0,61.0,59.0,61.0,61.0,61.0,100.0
0,59,84.0,2,878,666.0,1,1,0,0,0,2,2,2,2,2,102.0,117.0,49.0,61.0,77.0,61.0,61.0,61.0,100.0,51.0
