,P1Rank,P2Rank,P1Pts,P2Pts,Surface,AP1Surface,AP1Rank,AP1OppRank,BP1Surface,BP1Rank,BP1OppRank,CP1Surface,CP1Rank,CP1OppRank,AP2Surface,AP2Rank,AP2OppRank,BP2Surface,BP2Rank,BP2OppRank,CP2Surface,CP2Rank,CP2OppRank,AP1Win,BP1Win,CP1Win,AP2Win,BP2Win,CP2Win
45936,16,57,1975,920,2,2,57,16,2,57,16,2,57,16,2,57,16,2,57,16,2,57,16,0,0,1,0,0,1
45965,14,32,2110,1287,2,2,32,14,2,32,14,2,32,14,2,32,14,2,32,14,2,32,14,0,1,1,0,1,1
45994,13,19,2380,1755,2,2,19,13,2,19,13,2,19,13,2,19,13,2,19,13,2,19,13,1,1,0,1,1,0
46023,13,85,2380,670,2,2,13,85,2,13,85,2,13,85,2,13,85,2,13,85,2,13,85,1,0,0,1,0,1
46052,111,13,510,2380,2,2,13,111,2,13,111,2,13,111,2,13,111,2,13,111,2,13,111,0,0,0,0,0,1
46081,151,12,380,2380,2,2,151,12,2,151,12,2,151,12,2,151,12,2,151,12,2,151,12,0,1,1,0,1,1
46110,12,32,2470,1270,2,2,12,32,2,12,32,2,12,32,2,12,32,2,12,32,2,12,32,1,0,1,1,0,1
46139,7,12,3905,2470,2,2,7,12,2,7,12,2,7,12,2,7,12,2,7,12,2,7,12,1,0,1,1,0,1
46168,16,12,1950,2470,2,2,12,16,2,12,16,2,12,16,2,12,16,2,12,16,2,12,16,0,0,1,0,1,1
46197,12,36,2470,1197,1,1,36,12,1,36,12,1,36,12,1,36,12,1,36,12,1,36,12,1,1,0,1,1,0
46226,1,127,8770,437,3,3,1,127,3,1,127,3,1,127,3,1,127,3,1,127,3,1,127,1,1,1,0,0,1
46255,46,34,1051,1222,2,2,46,34,2,46,34,2,46,34,2,46,34,2,46,34,2,46,34,1,1,0,1,0,0
46284,46,51,1051,948,2,2,46,51,2,46,51,2,46,51,2,46,51,2,46,51,2,46,51,1,0,1,1,0,1
46313,47,46,1048,1051,2,2,46,47,2,46,47,2,46,47,2,46,47,2,46,47,2,46,47,0,1,0,0,1,0
46342,47,14,1021,1990,2,2,14,47,2,14,47,2,14,47,2,14,47,2,14,47,2,14,47,1,0,0,1,0,1
46371,47,46,1021,1030,2,2,47,46,2,47,46,2,47,46,2,47,46,2,47,46,2,47,46,0,0,0,0,0,0
